,pert_id,pert_iname,pcl_id,pcl_name,pcl_type,pcl_source,pcl_criteria
1,BRD-A52650764,ingenol,CP_PKC_ACTIVATOR,PKC activator,CP,Broad_moa,MoA
2,BRD-A15079084,phorbol-12-myristate-13-acetate,CP_PKC_ACTIVATOR,PKC activator,CP,Broad_moa,MoA
3,BRD-K91145395,prostratin,CP_PKC_ACTIVATOR,PKC activator,CP,Broad_moa,MoA
4,CGS001-6201,RPS7,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
5,BRD-K78659596,ixazomib,CP_PROTEASOME_INHIBITOR,Proteasome inhibitor,CP,Broad_moa,MoA
6,BRD-K60230970,MG-132,CP_PROTEASOME_INHIBITOR,Proteasome inhibitor,CP,Broad_moa,MoA
7,BRD-K15935639,z-leu3-VS,CP_PROTEASOME_INHIBITOR,Proteasome inhibitor,CP,Broad_moa,MoA
8,CGS001-6194,RPS6,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
9,CGS001-6201,RPS7,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
10,BRD-K01436366,XMD-1150,CP_LEUCINE_RICH_REPEAT_KINASE_INHIBITOR,Leucine rich repeat kinase inhibitor,CP,Broad_moa,MoA
11,BRD-K64857848,XMD-885,CP_LEUCINE_RICH_REPEAT_KINASE_INHIBITOR,Leucine rich repeat kinase inhibitor,CP,Broad_moa,MoA
12,BRD-K50387473,XMD-892,CP_LEUCINE_RICH_REPEAT_KINASE_INHIBITOR,Leucine rich repeat kinase inhibitor,CP,Broad_moa,MoA
13,BRD-K33551950,radicicol,CP_HSP_INHIBITOR,HSP inhibitor,CP,Broad_moa,MoA
14,CGS001-6194,RPS6,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
15,CGS001-6201,RPS7,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
16,ccsbBroad304_05782,ADORA2A,OE_GPCR_SUBSET,GPCR Subset GOF,GOF,Broad_moa,MoA
17,ccsbBroad304_05049,GPBAR1,OE_GPCR_SUBSET,GPCR Subset GOF,GOF,Broad_moa,MoA
18,ccsbBroad304_04933,GPR119,OE_GPCR_SUBSET,GPCR Subset GOF,GOF,Broad_moa,MoA
19,BRD-K36529613,PU-H71,CP_HSP_INHIBITOR,HSP inhibitor,CP,Broad_moa,MoA
20,BRD-K33551950,radicicol,CP_HSP_INHIBITOR,HSP inhibitor,CP,Broad_moa,MoA
21,CGS001-6194,RPS6,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
22,CGS001-6201,RPS7,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
23,ccsbBroad304_00282,CDKN1A,OE_CELL_CYCLE_INHIBITION,Cell Cycle Inhibition GOF,GOF,Broad_moa,MoA
24,ccsbBroad304_05980,CDKN1B,OE_CELL_CYCLE_INHIBITION,Cell Cycle Inhibition GOF,GOF,Broad_moa,MoA
25,ccsbBroad304_00283,CDKN2C,OE_CELL_CYCLE_INHIBITION,Cell Cycle Inhibition GOF,GOF,Broad_moa,MoA
26,BRD-K41859756,NVP-AUY922,CP_HSP_INHIBITOR,HSP inhibitor,CP,Broad_moa,MoA
27,BRD-K36529613,PU-H71,CP_HSP_INHIBITOR,HSP inhibitor,CP,Broad_moa,MoA
28,BRD-K33551950,radicicol,CP_HSP_INHIBITOR,HSP inhibitor,CP,Broad_moa,MoA
29,CGS001-6194,RPS6,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
30,CGS001-6201,RPS7,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
31,BRD-K83988098,alvespimycin,CP_HSP_INHIBITOR,HSP inhibitor,CP,Broad_moa,MoA
32,BRD-K51967704,BIIB-021,CP_HSP_INHIBITOR,HSP inhibitor,CP,Broad_moa,MoA
33,BRD-K65503129,CCT-018159,CP_HSP_INHIBITOR,HSP inhibitor,CP,Broad_moa,MoA
34,BRD-A19500257,geldanamycin,CP_HSP_INHIBITOR,HSP inhibitor,CP,Broad_moa,MoA
35,BRD-K41859756,NVP-AUY922,CP_HSP_INHIBITOR,HSP inhibitor,CP,Broad_moa,MoA
36,BRD-K36529613,PU-H71,CP_HSP_INHIBITOR,HSP inhibitor,CP,Broad_moa,MoA
37,BRD-K33551950,radicicol,CP_HSP_INHIBITOR,HSP inhibitor,CP,Broad_moa,MoA
38,CGS001-6194,RPS6,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
39,CGS001-6201,RPS7,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
40,BRD-A17065207,brefeldin-a,CP_PROTEIN_SYNTHESIS_INHIBITOR,Protein synthesis inhibitor,CP,Broad_moa,MoA
41,BRD-K80348542,cephaeline,CP_PROTEIN_SYNTHESIS_INHIBITOR,Protein synthesis inhibitor,CP,Broad_moa,MoA
42,BRD-A62184259,cycloheximide,CP_PROTEIN_SYNTHESIS_INHIBITOR,Protein synthesis inhibitor,CP,Broad_moa,MoA
43,BRD-A25687296,emetine,CP_PROTEIN_SYNTHESIS_INHIBITOR,Protein synthesis inhibitor,CP,Broad_moa,MoA
44,BRD-K76674262,homoharringtonine,CP_PROTEIN_SYNTHESIS_INHIBITOR,Protein synthesis inhibitor,CP,Broad_moa,MoA
45,BRD-A28970875,puromycin,CP_PROTEIN_SYNTHESIS_INHIBITOR,Protein synthesis inhibitor,CP,Broad_moa,MoA
46,BRD-A20697603,thiostrepton,CP_PROTEIN_SYNTHESIS_INHIBITOR,Protein synthesis inhibitor,CP,Broad_moa,MoA
47,BRD-A26002865,verrucarin-a,CP_PROTEIN_SYNTHESIS_INHIBITOR,Protein synthesis inhibitor,CP,Broad_moa,MoA
48,CGS001-6194,RPS6,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
49,CGS001-6201,RPS7,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
50,BRD-K93034159,cladribine,CP_RIBONUCLEOTIDE_REDUCTASE_INHIBITOR,Ribonucleotide reductase inhibitor,CP,Broad_moa,MoA
51,BRD-A82371568,clofarabine,CP_RIBONUCLEOTIDE_REDUCTASE_INHIBITOR,Ribonucleotide reductase inhibitor,CP,Broad_moa,MoA
52,BRD-K33106058,cytarabine,CP_RIBONUCLEOTIDE_REDUCTASE_INHIBITOR,Ribonucleotide reductase inhibitor,CP,Broad_moa,MoA
53,BRD-K66788707,fludarabine,CP_RIBONUCLEOTIDE_REDUCTASE_INHIBITOR,Ribonucleotide reductase inhibitor,CP,Broad_moa,MoA
54,BRD-K15108141,gemcitabine,CP_RIBONUCLEOTIDE_REDUCTASE_INHIBITOR,Ribonucleotide reductase inhibitor,CP,Broad_moa,MoA
55,BRD-K72093121,vidarabine,CP_RIBONUCLEOTIDE_REDUCTASE_INHIBITOR,Ribonucleotide reductase inhibitor,CP,Broad_moa,MoA
56,BRD-K18787491,U-0126-EtOH,CP_MEK_INHIBITOR,MEK inhibitor,CP,Broad_moa,MoA
57,CGS001-6189,RPS3A,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
58,CGS001-6193,RPS5,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
59,CGS001-6194,RPS6,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
60,CGS001-6201,RPS7,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
61,BRD-K89014967,AS-703026,CP_MEK_INHIBITOR,MEK inhibitor,CP,Broad_moa,MoA
62,BRD-K12244279,MEK1-2-inhibitor,CP_MEK_INHIBITOR,MEK inhibitor,CP,Broad_moa,MoA
63,BRD-K49865102,PD-0325901,CP_MEK_INHIBITOR,MEK inhibitor,CP,Broad_moa,MoA
64,BRD-K05104363,PD-184352,CP_MEK_INHIBITOR,MEK inhibitor,CP,Broad_moa,MoA
65,BRD-K88677950,PD-198306,CP_MEK_INHIBITOR,MEK inhibitor,CP,Broad_moa,MoA
66,BRD-K62810658,PD-98059,CP_MEK_INHIBITOR,MEK inhibitor,CP,Broad_moa,MoA
67,BRD-K57080016,selumetinib,CP_MEK_INHIBITOR,MEK inhibitor,CP,Broad_moa,MoA
68,BRD-K18787491,U-0126-EtOH,CP_MEK_INHIBITOR,MEK inhibitor,CP,Broad_moa,MoA
69,CGS001-6189,RPS3A,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
70,CGS001-6193,RPS5,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
71,CGS001-6194,RPS6,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
72,CGS001-6201,RPS7,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
73,CGS001-2197,FAU,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
74,CGS001-6204,RPS10,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
75,CGS001-6207,RPS13,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
76,CGS001-6208,RPS14,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
77,CGS001-6210,RPS15A,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
78,CGS001-6217,RPS16,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
79,CGS001-6223,RPS19,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
80,CGS001-6233,RPS27A,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
81,CGS001-6188,RPS3,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
82,CGS001-6189,RPS3A,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
83,CGS001-6193,RPS5,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
84,CGS001-6194,RPS6,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
